DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2018,14.13,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2019,13.45,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2020,13.50,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2009,6.87,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2010,10.02,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2011,13.35,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2012,16.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2013,11.93,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2014,10.48,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2015,11.54,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2016,12.30,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2017,13.80,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2018,15.13,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2019,15.05,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LV,2020,15.10,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2009,7.43,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2010,8.71,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2011,15.79,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2012,15.74,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2013,12.71,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2014,12.24,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2015,11.73,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2016,11.87,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2017,12.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2018,13.67,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2019,14.35,p
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PL,2020,12.89,p
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2009,14.22,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2010,14.45,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2011,19.09,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2012,21.82,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2013,19.98,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2014,17.20,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2015,18.09,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2016,16.50,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2017,15.00,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2018,15.65,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2019,18.00,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,PT,2020,18.00,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2009,16.51,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2010,18.99,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2011,26.66,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2012,27.13,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2013,25.35,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2014,21.60,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,RO,2015,20.47,
